periode,m1,m2,n,DM,pval,sig
2011,LightGBM + Bagging,Ridge + Bagging,12,3.7748931921381113,0.00016007623552138917,***
2011,LinearRegression,Ridge + Bagging,12,-4.178215544305264,2.938051538503572e-05,***
2012,AR(1),AR(p),12,-10.779432726405009,0.0,***
2012,AR(1),LightGBM + Bagging,12,-23.928178508891374,0.0,***
2012,AR(1),LinearRegression,12,-12.072491167543342,0.0,***
2012,AR(1),Ridge + Bagging,12,-11.151052351540777,0.0,***
2012,AR(p),LightGBM + Bagging,12,-5.420309823752249,5.949583403719316e-08,***
2012,AR(p),LinearRegression,12,-4.794562256373958,1.6303043017806829e-06,***
2012,AR(p),Ridge + Bagging,12,-5.191784281112739,2.082882510912043e-07,***
2012,LightGBM + Bagging,LinearRegression,12,-0.027750536117688553,0.9778611172111846,
2012,LightGBM + Bagging,Ridge + Bagging,12,-0.6139547642076202,0.5392452198713757,
2012,LinearRegression,Ridge + Bagging,12,-1.5270661159706536,0.1267445715915798,
2013,AR(1),AR(p),12,-12.33577315753259,0.0,***
2013,AR(1),LightGBM + Bagging,12,-20.524724739281847,0.0,***
2013,AR(1),LinearRegression,12,-7.910709842874993,2.6645352591003757e-15,***
2013,AR(1),Ridge + Bagging,12,-12.277825238170697,0.0,***
2013,AR(p),LightGBM + Bagging,12,-6.0005796369642175,1.966143914344798e-09,***
2013,AR(p),LinearRegression,12,-4.55169541294394,5.321533885105367e-06,***
2013,AR(p),Ridge + Bagging,12,-6.444515095866089,1.1597056648326998e-10,***
2013,LightGBM + Bagging,LinearRegression,12,-3.4982562573228297,0.00046831093085630826,***
2013,LightGBM + Bagging,Ridge + Bagging,12,-5.622991665926965,1.876784594401215e-08,***
2013,LinearRegression,Ridge + Bagging,12,0.8038170657718424,0.42150263231225216,
2014,AR(1),AR(p),12,-22.42777232572937,0.0,***
2014,AR(1),LightGBM + Bagging,12,-3.473216692744856,0.0005142599712049112,***
2014,AR(1),LinearRegression,12,-5.651150357823787,1.59377600006394e-08,***
2014,AR(1),Ridge + Bagging,12,-7.094761174192187,1.2958523143424827e-12,***
2014,AR(p),LightGBM + Bagging,12,2.9542120866734276,0.003134684966917156,***
2014,AR(p),LinearRegression,12,-0.3667683049430104,0.7137918515127835,
2014,AR(p),Ridge + Bagging,12,-1.5825832469489862,0.11351648443162654,
2014,LightGBM + Bagging,LinearRegression,12,-8.269218093472848,0.0,***
2014,LightGBM + Bagging,Ridge + Bagging,12,-13.727248315439141,0.0,***
2014,LinearRegression,Ridge + Bagging,12,-16.990824254003797,0.0,***
2015,AR(1),AR(p),12,-10.141754285904351,0.0,***
2015,AR(1),LightGBM + Bagging,12,-18.700343886480205,0.0,***
2015,AR(1),LinearRegression,12,-24.949298262998017,0.0,***
2015,AR(1),Ridge + Bagging,12,-35.32368212526822,0.0,***
2015,AR(p),LightGBM + Bagging,12,-10.758954095758932,0.0,***
2015,AR(p),LinearRegression,12,-9.881115831320532,0.0,***
2015,AR(p),Ridge + Bagging,12,-13.513466015552,0.0,***
2015,LightGBM + Bagging,LinearRegression,12,3.3837902930143082,0.0007149258586252039,***
2015,LightGBM + Bagging,Ridge + Bagging,12,0.899509687378209,0.368381238176279,
2015,LinearRegression,Ridge + Bagging,12,-9.344129805823295,0.0,***
2016,AR(1),AR(p),12,0.5240502014017813,0.6002436236792994,
2016,AR(1),LightGBM + Bagging,12,-1.1863390151647326,0.23548844488343512,
2016,AR(1),LinearRegression,12,-0.9889814008681351,0.3226722416485759,
2016,AR(1),Ridge + Bagging,12,-1.3981382817031096,0.16207154603764273,
2016,AR(p),LightGBM + Bagging,12,-2.561088764225641,0.010434469248692402,**
2016,AR(p),LinearRegression,12,-2.3125453015113187,0.02074765186301586,**
